,Mean Variance,PSD Delta,PSD Theta,PSD Alpha,PSD Beta,PSD Gamma,Label
188,3.544427581119918e-09,1878.5022587587036,226.24954662961952,57.62234951804498,90.85925392783855,68.79381664970632,0
189,3.6689844762609132e-09,2053.8127651200416,283.12181470346053,78.51955719928057,71.46945801677367,45.62198465375758,0
190,1.5476080166547785e-08,10621.949364974762,784.722840821211,96.95965232367071,107.42672482013508,87.30163216692884,0
191,8.694700662560565e-09,5858.71682274889,673.2675427598404,72.6987761747952,59.22846037312386,38.73574829142606,0
192,7.272456975659752e-09,4469.528113108344,369.86186814454203,78.41099386331895,118.86821083359828,94.80870550669134,0
193,4.098226939567056e-09,2675.905264155007,238.05568155037082,62.662397518859756,42.20308123926638,31.22829970230921,0
194,4.737463501398351e-09,2851.3973537590296,455.29127077335403,74.27798905125195,52.81166876120643,46.04942072503553,0
195,8.72490329555877e-09,5652.2444725400155,714.5450053027863,61.02390802310653,70.90526491421699,84.15512099582408,0
196,5.301901649632069e-09,3290.7665294902167,206.94070968311942,45.29284272026123,75.97607043700586,73.67584564033321,0
197,5.768232726848679e-09,2954.848690365134,403.3055726718374,80.19377436390006,137.36804885446986,118.73371381591284,0
198,1.3550911102499154e-08,7977.8810289024295,920.4832431052118,118.37418835948358,205.51692013797592,194.27654293081642,0
199,5.448274400934626e-09,3392.6928523293354,455.5624073298389,60.73687114628557,64.76326007856433,44.29604482671754,0
200,7.364807291161951e-09,4261.250553884563,494.06790229810935,96.27404521466057,118.832601371473,115.892047953296,0
201,5.266411703716941e-09,3157.692703236007,304.1478035526602,98.99702656101248,96.37424246040594,72.03048568671224,0
202,8.16577262291294e-09,5204.237768699739,444.40743096372506,101.43852311988749,112.84692650450027,75.73181857937459,0
203,4.226201673779867e-09,2242.5718935691602,401.3383346724761,78.50523578077281,81.67219719489317,65.2650916346732,0
204,5.207939051673524e-09,3293.908491002905,349.3078391220349,66.60651761346479,66.56134880149892,38.67332967215786,0
205,5.221734567660515e-09,3183.2311373791026,437.05409372856406,84.39005822649473,61.950688752481355,44.42463827325089,0
206,4.7118883586531375e-09,2811.5977094745454,347.031975683215,99.5867336943677,66.30926517942561,49.0704491068465,0
207,8.318808006697188e-09,5173.233751253941,609.1025351873931,73.80792601387698,82.86474280353023,89.03435678200667,0
208,6.274235328550022e-09,4029.4723527790006,227.72924972008,61.044271743070794,78.86636326950651,76.23664870955805,0
209,9.720776407540745e-09,5836.503064211508,703.1996312054728,110.25835142736716,127.87534813145331,115.30786588602508,0
210,9.807207359862693e-09,5666.342924653078,574.2942947162495,100.3790861138678,160.52121813796737,146.14885251516858,0
211,6.276366441782941e-09,3777.7222121218974,345.301848463272,108.00328655758128,91.67764009919792,77.22744696368821,0
